gene_name,782752_3,637549_3,549101_3,856650_3,703998_3,706816_3,662256_3,931746_3,605858_3,678649_3,520109_3,692077_3,946772_3,827529_3,788006_3,906787_3,773477_3,965096_3,636361_3,695492_3,664041_3,579493_3,872878_3,740596_3,505372_3,852717_3,625950_3,663288_3,977018_3,668974_3,786768_3,943952_3,737046_3,615064_3,939512_3,743122_3,826701_3,777827_3,773626_3,523257_3,947956_3,862314_3,723691_3,787693_3,680949_3,809660_3,550205_3,888980_3,944838_3,858366_3,825158_3,890932_3,835749_3,637580_3,997717_3,839621_3,930841_3,683266_3,702116_3,897309_3,565782_3,500915_3,740015_3,982023_3,689440_3,691160_3,709690_3,653512_3,971241_3,903837_3,888987_3,582739_3,961389_3,902180_3,508691_3,631489_3,813805_3,597312_3,674547_3,915027_3,546738_3,739041_3
C1orf112,18,44,55,27,24,9,41,32,169,1,68,2,5,0,0,1,2,2,5,1,1,4,2,0,11,0,3,0,0,1,0,1,1,1,7,0,0,1,0,1,0,0,0,5,1,0,0,1,0,1,1,0,8,1,1,4,1,15,38,12,6,0,3,1,0,2,2,0,1,0,7,0,0,0,4,12,2,2,0,1,1,1
FGR,28,47,43,45,27,64,35,21,1111,6,18,22,38,19,3,24,10,14,48,18,7,35,33,12,48,10,20,13,8,14,17,11,11,14,635,29,17,21,12,28,4,15,25,20,3,4,5,5,9,1,2,16,49,86,14,25,8,129,28,40,56,29,38,28,13,51,35,10,15,6,260,4,1,7,6,34,4,4,13,7,17,11
GCLC,14,21,28,48,17,11,15,20,115,54,8,10,13,14,7,10,9,16,9,10,4,13,22,12,20,3,1,11,5,3,6,0,0,8,27,12,6,5,21,2,6,8,1,4,7,0,3,0,2,0,5,7,13,27,10,24,17,41,17,29,21,23,7,5,20,6,7,4,5,4,16,10,1,3,1,9,5,5,1,3,9,5
NFYA,12,23,22,15,3,9,13,9,260,7,9,11,5,0,4,4,3,4,9,0,4,1,9,6,6,1,6,4,2,1,0,0,6,1,68,1,6,4,0,3,0,10,5,3,2,0,1,0,0,0,1,3,9,21,9,14,2,36,12,15,10,7,7,5,3,14,2,5,2,1,46,4,0,1,1,7,4,1,1,3,4,0
NIPAL3,20,25,53,8,20,13,40,15,307,12,22,8,20,8,0,4,0,9,19,2,0,19,16,3,10,5,4,1,9,1,2,2,2,13,49,7,5,5,0,25,0,8,0,8,2,2,2,2,3,6,2,2,11,12,17,30,9,24,57,17,17,3,0,1,0,5,8,5,6,0,28,1,1,1,3,6,9,5,3,0,12,1
LAS1L,6,16,20,12,6,6,15,8,319,6,4,10,13,3,4,13,2,7,4,4,1,8,4,5,18,2,2,1,5,0,3,0,1,1,34,11,1,1,2,3,1,4,3,4,0,0,0,0,0,0,2,4,6,30,11,10,2,23,4,16,13,6,8,7,6,7,5,5,1,0,7,3,2,2,2,10,0,0,1,0,2,0
ANKIB1,43,82,67,47,42,24,72,59,298,22,33,12,21,8,5,4,6,12,17,1,0,19,8,3,13,5,0,1,1,6,7,0,2,2,41,5,2,7,5,18,0,3,6,9,3,3,2,1,0,0,1,4,28,23,34,40,4,43,56,33,10,15,5,7,7,8,9,9,3,4,28,2,0,2,3,20,9,0,5,2,7,4
KRIT1,53,110,114,44,66,33,101,85,440,32,68,21,21,3,0,17,6,14,11,4,4,15,11,9,9,9,5,3,3,2,1,0,2,9,52,4,2,2,6,11,0,5,3,3,2,1,0,1,1,0,0,2,46,27,42,52,8,58,47,43,21,37,10,4,7,13,6,6,8,0,17,3,2,0,1,23,7,1,7,2,4,3
BAD,15,29,25,5,19,5,41,17,88,5,29,4,5,5,0,6,2,2,8,1,0,4,3,4,6,3,0,1,2,1,3,1,0,0,16,4,2,2,2,5,3,3,0,2,2,1,0,1,0,0,0,2,8,13,13,19,0,18,25,7,10,13,1,0,3,2,5,2,6,3,10,0,0,0,2,8,0,1,3,1,3,0
LAP3,29,16,39,32,25,17,37,22,275,9,37,41,12,15,10,9,3,13,11,4,6,23,16,20,22,3,9,6,9,5,6,2,3,6,65,8,1,8,1,8,4,3,3,4,0,3,5,0,1,0,7,3,18,41,15,15,1,64,23,31,22,28,9,8,14,8,5,7,6,5,26,1,1,2,1,15,4,4,5,1,6,5
