"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ABL2",8.31010323476416,1.40823202794567,0.288074363274244,3.67090864288248e-08,6.11721699371936e-05
"RN7SL752P",102.588641983677,1.54994327949272,0.319178405049175,7.1888389438745e-08,6.11721699371936e-05
"RN7SL665P",18.3328776782317,1.88875922330835,0.370722155586372,1.66145655899478e-08,6.11721699371936e-05
"RN7SL736P",19.2693512455696,1.96386015767326,0.405028983746646,7.24445404277517e-08,6.11721699371936e-05
"Metazoa_SRP",317.262345976118,1.27171388658212,0.258816201112028,6.12114135118657e-08,6.11721699371936e-05
"EXOC3",28.0905239473535,1.2770360897829,0.27201002958796,1.0198855381379e-07,7.17659457003037e-05
"RN7SL5P",110.008286687125,1.49079851817903,0.32699914201893,2.87754264789555e-07,0.000173556929420214
"RN7SL573P",19.8794614777237,1.92726559645838,0.429687088395591,3.93213456128174e-07,0.000184460801308128
"TMSB4XP6",20.9124617639881,1.1382742825015,0.25847329914357,6.80678135135336e-07,0.000239485257211783
"RN7SL396P",156.932902266962,1.2750086130289,0.289140717087992,6.690607528455e-07,0.000239485257211783
"RN7SL381P",22.4774036259237,1.84780961282049,0.445282412716662,1.79780485627827e-06,0.00054216657880049
"RN7SL674P",119.276751118143,1.53274645949903,0.366214917834921,2.09452668928924e-06,0.000589539445478611
"RNA5-8SP2",13.0803340479812,1.67555908943485,0.421105931856618,3.17445135641278e-06,0.000837658351673423
"RP4-671O14.6",12.6637006755944,1.16862525209977,0.303991841211544,3.6861770188279e-06,0.000872285097561861
"RN7SL767P",99.1549697023371,1.51974383829063,0.380641434234572,4.25388997137961e-06,0.000880712087177395
"RN7SL151P",82.5595381439392,1.1430954384827,0.287333148840724,4.31575848616718e-06,0.000880712087177395
"RN7SL4P",320.876272888146,1.02801085053785,0.261550562439252,4.38061436066444e-06,0.000880712087177395
"RNA5SP202",69.9623410545078,1.19324412195582,0.310670771177396,7.48912702880172e-06,0.00137474323111308
"RNA5-8SP6",162.57119433725,1.43454501604723,0.38314782808482,1.17728430046739e-05,0.00191172858329744
"RN7SL230P",15.3659461114932,1.86995875558904,0.501293439147193,1.11454412981946e-05,0.00191172858329744
"RPGR",11.7056983518087,-1.16436803244125,0.345253518656348,2.1833786846563e-05,0.00297362090536093
"RN7SL630P",16.2618061131087,1.62885587077256,0.532598749546379,7.40064660511003e-05,0.00743941189685108
"CCNL1",6.95147032149849,-1.29073350950272,0.45562271682435,0.000147174562211921,0.0116729063012908
"RN7SL128P",121.577327135773,1.29192256377432,0.430357052609761,0.00014853970574681,0.0116729063012908
"VCAN",22.0755257727113,-1.36762692077042,0.507747004335434,0.000164365947806916,0.0125121272811856
"RN7SL564P",8.76344948122113,1.68264518521253,0.57693190214994,0.000175110185969614,0.012746813882133
