"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"XIST",34.252521666041,-2.37117148717985,0.442314121305326,6.3062865362189e-10,4.09151870469882e-06
"CCNL1",15.0123118389,-1.6603894202718,0.302734928833629,1.78012721213914e-09,5.77473267617938e-06
"VCAN",66.0907538560704,-2.11072663474197,0.397813746690269,3.33682178640543e-09,7.21643325006613e-06
"ITGAX",45.1914054197477,-1.76012968262584,0.378966641230131,3.10182191166462e-08,3.35410342714667e-05
"LRRK2",44.0692232708673,-1.27728550943949,0.269756194573629,6.60273985461656e-08,6.11979659667889e-05
"NLRP1",32.3729743692919,-1.41411573936142,0.30209221659557,1.16643071009915e-07,9.45975305890413e-05
"MPEG1",30.9561201108813,-1.19888561438563,0.255907290425704,1.54486044404898e-07,0.000100230545609898
"PGGHG",14.6013304359915,-1.85719340872121,0.421413245579946,2.75896783608963e-07,0.000149168194337913
"JAML",48.6717865819073,-1.31837304327599,0.29358338905656,2.52941988926374e-07,0.000149168194337913
"DDX60L",18.9015550684455,-1.09213184286693,0.24096517885485,3.57024623386662e-07,0.000178182750502513
"CD300E",22.106418347604,-1.23361479325508,0.291233368726524,5.91008201141917e-07,0.000199127323306198
"OGT",20.5228162912132,-1.21042393956956,0.28143827607497,7.27327894802784e-07,0.000205622989024372
"ENTPD1",8.71086817242366,-1.40384001413097,0.329559037187306,8.46123808191116e-07,0.000212297548709275
"C9orf72",8.05615284896082,-1.28086148032382,0.295709904557368,8.67007971942238e-07,0.000212297548709275
"RBPMS2",26.3298026926464,1.11561820473461,0.256636364371241,8.83482400608881e-07,0.000212297548709275
"PLXNB2",13.2676985019255,-1.39183440950472,0.331628807407848,7.86769577375609e-07,0.000212297548709275
"EMILIN2",9.21381996299751,-1.38860049018384,0.336147633707882,1.43804461321672e-06,0.000273877807191017
"NADSYN1",7.5243916065129,-1.24413818293655,0.29445694020566,1.58546966271403e-06,0.000278014247883476
"PTPRC",71.0668295564321,-1.064308291708,0.259611177529782,1.71069047919704e-06,0.000284588713564882
"FAM111A",8.97389427878773,-1.10386534382944,0.261892564709105,1.78679966124871e-06,0.000289818905054541
"DMXL2",18.8979629205014,-1.10276008572508,0.268667921992678,1.93808662390978e-06,0.000291961193718214
"NXF1",8.76336782727384,-1.12311480508736,0.273874982729652,2.30495094686298e-06,0.000312479499153907
"NEAT1",462.712196248194,-1.28625889350061,0.335230385085217,2.37777403007833e-06,0.000314836691982617
"RELT",10.7767350356489,-1.62125870394903,0.408518387846004,3.01844516696271e-06,0.000362660597097297
"LENG8",23.1279152935089,-1.36170190525183,0.346259076268309,2.93104360355352e-06,0.000362660597097297
"EGR1",17.6989021698262,-1.89002129457824,0.491727151494596,3.52416436856935e-06,0.000376215444243092
"RRBP1",12.0348575477392,-1.03696452931358,0.261660622045978,3.46579384167976e-06,0.000376215444243092
"ZBTB40",7.40081740997476,-1.05553639432257,0.264536263529635,3.47495959114092e-06,0.000376215444243092
"MALAT1",1490.33193274281,-1.14992825248091,0.306796136571284,3.34947521150543e-06,0.000376215444243092
"TIAM1",7.34456645998026,-1.06653098184119,0.268537730584461,3.68323905093182e-06,0.000385433144555574
"IFIT3",16.2781525629146,-1.07605381204422,0.272522871094055,4.07395283134951e-06,0.000400481908633267
"LRP1",32.9467119965734,-1.27054735542443,0.33157263320168,4.45415854779341e-06,0.000431322099374383
"CLEC7A",13.1741245691787,-1.19655733976798,0.305194767726926,4.5585590891015e-06,0.000434940167207213
"CD93",12.897929043768,-1.30598851682681,0.338877124563161,5.47402130948918e-06,0.000483018922896933
"SIRT7",5.77768373008235,-1.0969847692645,0.285404940187442,6.36373591067834e-06,0.000522631880866849
"RNASET2",18.3532523184357,-1.07056303569045,0.288608024897603,8.66993225053285e-06,0.000639078705613269
"SULF2",12.5147414101529,-1.30781468439593,0.352410773962152,9.41532029818122e-06,0.000649857426538295
"APOBR",44.8225513896172,-1.0796017632296,0.292214194941035,9.96290572440858e-06,0.000663955205759552
"TCIRG1",14.7887125086788,-1.38392924703711,0.37982758367476,1.01737291090441e-05,0.000666738933934121
"RN7SL665P",21.4823485019882,1.13603506340854,0.304861183572508,1.06547792554927e-05,0.000684437701085509
"RN7SL752P",129.658357491708,1.00244736711754,0.269761023836553,1.31042234661849e-05,0.000780001851822088
"ALPK1",9.90117236033595,-1.26707760982781,0.363006105317366,1.63834689397288e-05,0.000904854495638644
"CDK5RAP3",9.41373094594864,-1.05450131830266,0.291721108904525,1.74446505715305e-05,0.000912749136355564
"RN7SL674P",155.61618553206,1.04172649272039,0.287519623165991,1.92349691595757e-05,0.000981877908153879
"NBPF19",5.1897077552877,-1.05795508314957,0.298126454066705,2.05839240571573e-05,0.00099663059166296
"CSF3R",126.920503194316,-1.19848767023278,0.358070468747477,2.29485813102612e-05,0.00104364245938709
"ATG16L2",38.6931932855299,-1.28231824699399,0.38047259461259,2.36905974781666e-05,0.00106003169957479
"HSPA6",8.32887588423075,-1.25346952911997,0.371785802325875,2.40394581902245e-05,0.001068274005056
"SH2B1",6.11930276744866,-1.00571070106901,0.297608288949388,3.83570308164406e-05,0.0014638847996298
"LILRB2",14.4190618806241,-1.02131383430061,0.301806882013835,3.92238347010041e-05,0.00148220274723688
"SLC43A2",9.40781900025781,-1.15959684614573,0.354371044889751,4.986372457892e-05,0.00174394455869954
"NABP1",25.9180322158784,-1.04115962659988,0.33136829302791,5.30043230044866e-05,0.00178712256681684
"BTN2A1",7.95146457936922,-1.0567156688608,0.332160182890157,5.56781033257401e-05,0.00182107396844512
"AOAH",10.576812034166,-1.08544435542923,0.341096972781635,5.49589747098169e-05,0.00182107396844512
"RN7SL736P",23.8123454260565,1.08839706142468,0.342408359673145,6.31548838741606e-05,0.00196994657007478
"PLXND1",5.85099022427213,-1.08091823475134,0.361762065007808,6.66058702186642e-05,0.00201934058868548
"FOS",45.5519204087262,-1.4353271276048,0.476215657768209,6.61517229232533e-05,0.00201934058868548
"SLC12A9",9.48105553670227,-1.3178891503158,0.434907288106176,7.15063249186062e-05,0.0020809693349691
"RNF149",16.9585058551016,-1.1788267937748,0.389408458160406,7.81964960712317e-05,0.0021962721493946
"CSF2RA",7.17144006695444,-1.06147114290405,0.339787543593763,8.64121214454121e-05,0.00228926034887786
"MYO15B",14.7216323086991,-1.11018648334293,0.367420790386534,9.92488190214233e-05,0.00246715071958235
"NOTCH2",27.577201215127,-1.00092332879163,0.327441227490131,0.000101083293414249,0.00249364413563365
"APOBEC3A",11.7743356069202,-1.01254620161386,0.328169835339664,0.00010660358896716,0.00253349481765178
"CCNL2",6.57382505108754,-1.03240881771829,0.348162370302784,0.000127036276665684,0.00275655974249819
"PGS1",7.39106030359203,-1.09879266116314,0.386027494018589,0.000129646295775516,0.00280381722330515
"RN7SL230P",19.9891313497363,1.22909109877092,0.41076626567172,0.000131377702416612,0.0028224454744337
"FCGRT",10.1432487566961,-1.09921437512731,0.378581149980145,0.000151786692115873,0.00306947288768388
"RN7SL573P",23.6857956160314,1.09327367135284,0.375775580796076,0.000159362466448905,0.00317160638748618
"ADCY7",11.1448968447835,-1.04437623873555,0.367107209730059,0.000172708195447451,0.00331517979900314
"SLC11A1",27.3078266085112,-1.13113198405172,0.414271945955196,0.000217483009176835,0.00377044130827346
"SLC16A3",15.4559914821771,-1.06983403617202,0.392904333129058,0.000249079281283098,0.00404394183274233
"CHST15",12.7487789993006,-1.01028213274651,0.379884969316116,0.000271501872054826,0.00422958254292061
"ADAM8",14.9859341070678,-1.14214920961936,0.438294616734771,0.00027782350800391,0.00425274470409584
"RN7SL381P",26.9725393908935,1.08001850909681,0.416259251174051,0.000466595156595394,0.00584414937449984
"TREM1",10.6378631291936,-1.09335587250983,0.459491605241847,0.000572960272544512,0.0066838178003638
"RN7SL630P",18.8748444149161,1.00641433700862,0.483972660474974,0.00170142714616682,0.0131065076176072
