"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HTRA4",9631.52278449119,5.47176810078605,0.38648860298355,1.27644802525379e-47,1.70507927213401e-43
"LEP",25068.4925545016,7.09341627822974,0.741128149689541,5.01022270974123e-24,3.34632774783616e-20
"HEXB",10181.0398487597,2.14154311076102,0.226580754957633,8.64626886004473e-23,3.84989531441592e-19
"NTRK2",258.752672047409,3.8547193990155,0.417576870976811,5.55781839667286e-22,1.8560334535689e-18
"BIN2",391.645670732629,1.97353173066734,0.220135338642696,9.35742468195059e-21,2.40123873585228e-17
"EBI3",14382.9798462514,1.29805594985176,0.144781929868223,1.16811257327119e-20,2.40123873585228e-17
"FLT1",125822.541235658,3.62045694525908,0.40879600545459,1.2583224398088e-20,2.40123873585228e-17
"PAPPA2",142796.516432847,1.96746253718595,0.223071024121586,3.14411838409914e-20,5.24989167184954e-17
"SERPINA3",597.823187420225,13.8956962942631,3.37700666698099,3.35534721772874e-19,4.9800809038245e-16
"CTSA",1322.52449649054,0.485455455835632,0.0573090153213326,3.16591447282626e-18,4.22902855280132e-15
"AFF3",260.391952631896,-1.57416037071741,0.189316463754483,7.86286204715068e-18,9.54837374780353e-15
"ENG",7537.28752508266,2.22269103451762,0.280942237388444,6.19084116799381e-17,6.47289484592238e-14
"FSTL3",15307.0186363384,4.69426651813538,0.602202741032251,6.29941855045597e-17,6.47289484592238e-14
"ARHGEF11",881.993120744783,-0.482004572075669,0.0616105616490968,7.51680852929402e-16,7.17210916673639e-13
"ADCY6",564.529507726472,-0.758915626143975,0.100332651225563,3.63437507745605e-15,3.23653215231053e-12
"QPCT",122.026760371961,2.70857353637994,0.375227837625626,1.37685683117874e-14,1.14950334693035e-11
"COASY",832.15822411756,-0.974801708491593,0.135660923791025,5.73478300891274e-14,4.50619008429743e-11
"PROCR",1698.24279212346,1.84393413041174,0.266236821575047,1.17556211026043e-13,8.72397703825489e-11
"INHA",1402.23630382769,2.4282058554557,0.35505366327539,1.7134012656255e-13,1.20461126874871e-10
"CUBN",119.597941385917,-1.20849547330152,0.172580736359872,1.91426499812191e-13,1.27853759224563e-10
"BTBD19",101.667132427753,-0.950230158008769,0.138509920255582,5.46939340788212e-13,3.4790551020233e-10
"ARMS2",399.479186633169,4.35372712246159,0.689425038506221,2.83257759791195e-12,1.71988961604126e-09
