"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HTRA4",9631.52278449119,5.47176810078605,0.38648860298355,1.27644802525379e-47,1.70507927213401e-43
"LEP",25068.4925545016,7.09341627822974,0.741128149689541,5.01022270974123e-24,3.34632774783616e-20
"HEXB",10181.0398487597,2.14154311076102,0.226580754957633,8.64626886004473e-23,3.84989531441592e-19
"NTRK2",258.752672047409,3.8547193990155,0.417576870976811,5.55781839667286e-22,1.8560334535689e-18
"BIN2",391.645670732629,1.97353173066734,0.220135338642696,9.35742468195059e-21,2.40123873585228e-17
"EBI3",14382.9798462514,1.29805594985176,0.144781929868223,1.16811257327119e-20,2.40123873585228e-17
"FLT1",125822.541235658,3.62045694525908,0.40879600545459,1.2583224398088e-20,2.40123873585228e-17
"PAPPA2",142796.516432847,1.96746253718595,0.223071024121586,3.14411838409914e-20,5.24989167184954e-17
"SERPINA3",597.823187420225,13.8956962942631,3.37700666698099,3.35534721772874e-19,4.9800809038245e-16
"AFF3",260.391952631896,-1.57416037071741,0.189316463754483,7.86286204715068e-18,9.54837374780353e-15
"ENG",7537.28752508266,2.22269103451762,0.280942237388444,6.19084116799381e-17,6.47289484592238e-14
"FSTL3",15307.0186363384,4.69426651813538,0.602202741032251,6.29941855045597e-17,6.47289484592238e-14
"QPCT",122.026760371961,2.70857353637994,0.375227837625626,1.37685683117874e-14,1.14950334693035e-11
"PROCR",1698.24279212346,1.84393413041174,0.266236821575047,1.17556211026043e-13,8.72397703825489e-11
"INHA",1402.23630382769,2.4282058554557,0.35505366327539,1.7134012656255e-13,1.20461126874871e-10
"CUBN",119.597941385917,-1.20849547330152,0.172580736359872,1.91426499812191e-13,1.27853759224563e-10
"ARMS2",399.479186633169,4.35372712246159,0.689425038506221,2.83257759791195e-12,1.71988961604126e-09
"GREM2",624.057754981891,1.78882709923941,0.278699673433188,3.83701864627395e-12,2.22847369899685e-09
"DIO2",727.543206034278,3.96717384948311,0.63781090682718,5.84031355818634e-12,3.14106315299678e-09
"ERRFI1",6315.67497681652,1.71047870420935,0.268803315100124,5.87861796862701e-12,3.14106315299678e-09
"MYO7B",368.622295191887,2.55751065267477,0.410709681698195,9.45687441981141e-12,4.83020470210584e-09
"RNASE4",48.2738286405398,1.73814408569159,0.273055091315797,1.07153258716408e-11,5.11197582119208e-09
