"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044057","regulation of system process","29/309","420/13146",0.069047619047619,2.93754045307443,6.26119498623572,2.06061544384363e-07,0.000698136512374222,0.00062013679515252,"GBA1/LEP/CYP2J2/INHBA/JPH2/TNR/SPX/NPNT/CALM1/KIT/TENM4/KCNE1/INHA/ERRFI1/TNNT1/NEGR1/TPPP/AQP1/JPH1/OPRK1/MAPK8IP2/SPP1/CACNA1D/FGF12/NPR3/NR4A3/SMTNL1/MTNR1B/SCN4B",29
"GO:0008015","blood circulation","27/309","421/13146",0.0641330166270784,2.72845513456172,5.5923974344679,2.29721661635321e-06,0.00389148494810234,0.00345670647692307,"ENG/LEP/CYP2J2/JPH2/SPX/MME/SCARB1/VEGFC/CALM1/KCNE1/VEGFA/JPH1/SLC2A5/CACNA1D/FGF12/NPR3/HBB/CXCL10/KEL/DRD1/SMTNL1/TNNI2/PTGS2/SCN11A/MTNR1B/SCN4B/CRP",27
"GO:0003013","circulatory system process","29/309","495/13146",0.0585858585858586,2.49245856624497,5.25134098212518,5.73592250678397e-06,0.00489280563589774,0.00434615401510956,"ENG/LEP/CYP2J2/JPH2/SLC38A3/SPX/MME/SCARB1/VEGFC/CALM1/KCNE1/VEGFA/JPH1/SLC2A5/CACNA1D/SLC6A17/FGF12/NPR3/HBB/CXCL10/KEL/DRD1/SMTNL1/TNNI2/PTGS2/SCN11A/MTNR1B/SCN4B/CRP",29
"GO:0022600","digestive system process","10/309","71/13146",0.140845070422535,5.99206891836456,6.54359877332754,5.77663003057584e-06,0.00489280563589774,0.00434615401510956,"LEP/CRACD/SCARB1/SLC26A6/NEGR1/AQP1/OPRK1/SLC2A5/CHRM1/MUC4",10
"GO:0032274","gonadotropin secretion","5/309","13/13146",0.384615384615385,16.3629574309186,8.59789813677686,7.65766808420384e-06,0.00511001756170491,0.00453909780926935,"LEP/INHBA/CGA/INHA/OPRK1",5
"GO:0019226","transmission of nerve impulse","8/309","46/13146",0.173913043478261,7.39890249050232,6.74491567642462,1.02053958753973e-05,0.00511001756170491,0.00453909780926935,"GBA1/TNR/NTRK2/FGF12/DRD1/SCN11A/MTNR1B/SCN4B",8
"GO:0019228","neuronal action potential","6/309","23/13146",0.260869565217391,11.0983537357535,7.52013604664011,1.15721333877404e-05,0.00511001756170491,0.00453909780926935,"GBA1/FGF12/DRD1/SCN11A/MTNR1B/SCN4B",6
"GO:0007586","digestion","10/309","78/13146",0.128205128205128,5.45431914363953,6.12141513501057,1.36150698051623e-05,0.00511001756170491,0.00453909780926935,"LEP/CRACD/SCARB1/SLC26A6/NEGR1/AQP1/OPRK1/SLC2A5/CHRM1/MUC4",10
"GO:0007600","sensory perception","23/309","360/13146",0.0638888888888889,2.7180690399137,5.12805030028208,1.40620808541589e-05,0.00511001756170491,0.00453909780926935,"MYO7B/PDZD7/HEXB/SPX/MME/KIT/KCNE1/TIMP3/CRYGN/PTPRQ/RGS16/LRIG3/AQP1/WHRN/OPRK1/ITPR3/OR51B5/MYO1A/RS1/OR51B4/CACNA1D/MYO3B/SCN11A",23
"GO:0170062","nutrient storage","10/309","79/13146",0.126582278481013,5.38527712916308,6.06527376821848,1.52684997903124e-05,0.00511001756170491,0.00453909780926935,"GBA1/LEP/HEXB/SCARB1/HILPDA/TLE6/NRIP1/PLIN2/NEGR1/CRP",10
"GO:0060986","endocrine hormone secretion","8/309","49/13146",0.163265306122449,6.94590846047157,6.46931218937699,1.65909661094315e-05,0.00511001756170491,0.00453909780926935,"LEP/INHBA/CGA/HCAR2/INHA/AQP1/OPRK1/SPP1",8
"GO:0001666","response to hypoxia","18/309","261/13146",0.0689655172413793,2.93404753933713,4.89635560430964,4.56804522564925e-05,0.0128971143537497,0.0114561765790625,"NDRG1/ENG/LEP/ERO1A/INHBA/PIK3CB/HK2/HILPDA/AK4/VEGFC/LIMD1/ARNT2/PLOD2/VEGFA/AQP1/EGLN3/ANG/PTGS2",18
"GO:0090596","sensory organ morphogenesis","16/309","219/13146",0.0730593607305936,3.10821474486856,4.88107851747142,6.10385591089889e-05,0.014516114940006,0.0128942933615476,"PDZD7/RDH13/NTRK2/MFAP5/FRZB/VEGFA/PRRX1/LRIG3/AQP1/WHRN/RS1/COL8A1/NR4A3/THY1/SDK2/MYO3B",16
"GO:0050886","endocrine process","9/309","76/13146",0.118421052631579,5.03806847215125,5.47734940110348,6.97061482681406e-05,0.014516114940006,0.0128942933615476,"LEP/INHBA/MME/CGA/HCAR2/INHA/AQP1/OPRK1/SPP1",9
"GO:0019915","lipid storage","9/309","77/13146",0.116883116883117,4.97263901147396,5.42414200621195,7.73280864790926e-05,0.014516114940006,0.0128942933615476,"GBA1/LEP/HEXB/SCARB1/HILPDA/NRIP1/PLIN2/NEGR1/CRP",9
"GO:0050954","sensory perception of mechanical stimulus","12/309","135/13146",0.0888888888888889,3.78166127292341,5.04015107517296,8.04477695918498e-05,0.014516114940006,0.0128942933615476,"MYO7B/PDZD7/HEXB/KIT/KCNE1/PTPRQ/LRIG3/WHRN/MYO1A/CACNA1D/MYO3B/SCN11A",12
"GO:0036293","response to decreased oxygen levels","18/309","274/13146",0.0656934306569343,2.79484090425909,4.65806976418758,8.56591718949844e-05,0.014516114940006,0.0128942933615476,"NDRG1/ENG/LEP/ERO1A/INHBA/PIK3CB/HK2/HILPDA/AK4/VEGFC/LIMD1/ARNT2/PLOD2/VEGFA/AQP1/EGLN3/ANG/PTGS2",18
"GO:0019755","one-carbon compound transport","4/309","11/13146",0.363636363636364,15.4704324801412,7.44887316609547,8.67079901476436e-05,0.014516114940006,0.0128942933615476,"AQP1/HBD/HBB/HBE1",4
"GO:0001508","action potential","11/309","116/13146",0.0948275862068965,4.03431536658855,5.09266686129791,8.8788959706685e-05,0.014516114940006,0.0128942933615476,"GBA1/NTRK2/CALM1/GNA14/KCNE1/CACNA1D/FGF12/DRD1/SCN11A/MTNR1B/SCN4B",11
"GO:0006935","chemotaxis","21/309","353/13146",0.0594900849858357,2.53092769328089,4.52359375932022,9.33902657273372e-05,0.014516114940006,0.0128942933615476,"FLT1/ENG/TPBG/SEMA4C/DUSP1/PIK3CB/CCR5/VEGFC/KIT/L1CAM/BIN2/VEGFA/SLAMF1/CCRL2/CX3CR1/FGF7/CXCL10/CXCL14/TREM1/FLRT3/CXCL1",21
"GO:0042330","taxis","21/309","353/13146",0.0594900849858357,2.53092769328089,4.52359375932022,9.33902657273372e-05,0.014516114940006,0.0128942933615476,"FLT1/ENG/TPBG/SEMA4C/DUSP1/PIK3CB/CCR5/VEGFC/KIT/L1CAM/BIN2/VEGFA/SLAMF1/CCRL2/CX3CR1/FGF7/CXCL10/CXCL14/TREM1/FLRT3/CXCL1",21
"GO:0007423","sensory organ development","25/309","462/13146",0.0541125541125541,2.3021476904972,4.42059655030579,9.42604866234157e-05,0.014516114940006,0.0128942933615476,"FLT1/MYO7B/PDZD7/INHBA/RDH13/NTRK2/MFAP5/PLAAT3/KIT/FRZB/VEGFA/CRYGN/PRRX1/LRIG3/AQP1/WHRN/RS1/NTF4/COL8A1/NR4A3/THY1/SDK2/MYO3B/MTNR1B/ASCL1",25
"GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","10/309","98/13146",0.102040816326531,4.34119278779473,5.15074872190723,0.000100178153814525,0.01475667761407,0.0131079790277221,"PRKD3/GNA14/VEGFA/DGKK/OPRK1/CHRM1/CX3CR1/DRD1/SELE/GPR32",10
